item_name,item_rating,item_price 
Samsung Galaxy A23 - 4GB RAM - 128GB ,0%, As low as EGP6199.00
Samsung Galaxy A04s - 4GB RAM - 64GB ,0%, As low as EGP4399.00
Samsung Galaxy S23 Ultra - 12GB RAM - 256GB ,0%, As low as EGP51999.00
Samsung Galaxy A04s - 4GB RAM - 128GB ,0%, As low as EGP4899.00
Samsung Galaxy A13 - 4GB RAM - 64GB ,100%, As low as EGP4899.00
Samsung Galaxy A13 - 4GB RAM - 128GB ,0%, As low as EGP5399.00
Samsung Galaxy A23 - 4GB RAM - 128GB - Light Blue ,0%, was EGP7199.00     Special Price EGP6199.00
Samsung Galaxy A23 - 4GB RAM - 128GB - Black ,0%, was EGP7199.00     Special Price EGP6199.00
Samsung Galaxy A04s - 4GB RAM - 128GB - Copper ,0%, was EGP6499.00     Special Price EGP4899.00
Samsung Galaxy A04s - 4GB RAM - 128GB - White ,0%, was EGP6499.00     Special Price EGP4899.00
Samsung Galaxy A04s - 4GB RAM - 64GB - Copper ,0%, was EGP5199.00     Special Price EGP4399.00
Samsung Galaxy A04s - 4GB RAM - 128GB - Black ,0%, was EGP6499.00     Special Price EGP4899.00
Samsung Galaxy A04s - 4GB RAM - 64GB - Black ,0%, was EGP5199.00     Special Price EGP4399.00
Samsung Galaxy S23 Ultra - 12GB RAM - 256GB - Green ,0%, was EGP57999.00     Special Price EGP51999.00
Samsung Galaxy S23 Ultra - 12GB RAM - 256GB - Cream ,0%, was EGP57999.00     Special Price EGP51999.00
Samsung Galaxy A13 - 4GB RAM - 128GB - Black ,0%, was EGP6699.00     Special Price EGP5399.00
Samsung Galaxy A13 - 4GB RAM - 128GB - Blue ,0%, was EGP6699.00     Special Price EGP5399.00
Samsung Galaxy A13 - 4GB RAM - 64GB - Blue ,100%, was EGP5899.00     Special Price EGP4899.00
Samsung Galaxy A13 - 4GB RAM - 64GB - Black ,100%, was EGP5899.00     Special Price EGP4899.00
Samsung Galaxy A14 - 4GB RAM - 128GB - Light Green ,0%, was EGP6999.00     Special Price EGP5719.00
Samsung Galaxy A14 - 4GB RAM - 64GB - Black ,0%, was EGP5999.00     Special Price EGP5249.00
Samsung Galaxy A14 - 4GB RAM - 128GB - Black ,0%, was EGP6999.00     Special Price EGP5719.00
Samsung Galaxy A14 - 4GB RAM - 64GB - Light Green ,0%, was EGP5999.00     Special Price EGP5249.00
SAMSUNG 43-Inch LED Smart FHD TV (UA43T5300AUXEG,95%, was EGP9399.00     Special Price EGP8999.00
SAMSUNG 43-Inch Crystal UHD AU-7000 Series - 4K UHD HDR Smart TV (UA43AU7000UXEG,83%, was EGP10299.00     Special Price EGP9299.00
SAMSUNG The Frame 65-Inch QLED - 4K UHD Quantum HDR Smart TV - (QA65LS03BAUXEG,0%, was EGP42299.00     Special Price EGP34999.00
SAMSUNG 32-Inch LED Smart HD TV (UA32T5300AUXEG,20%, was EGP5899.00     Special Price EGP5499.00
Samsung 65-Inch Neo QLED 4K QN85A Series - 4K UHD Quantum HDR 24x Smart TV - (QA65QN85BAUXEG,0%, was EGP49999.00     Special Price EGP37999.00
SAMSUNG The Frame 55-Inch QLED - 4K UHD Quantum HDR Smart TV - (QA55LS03BAUXEG,0%, was EGP30799.00     Special Price EGP23999.00
SAMSUNG 40-Inch LED Smart FHD TV (UA40T5300AUXEG,89%, was EGP8999.00     Special Price EGP8199.00
"Samsung TV 55"" LED UHD Smart Built In Receiver - 55CU7000 ",0%, was EGP13549.00     Special Price EGP12399.00
"Samsung TV 65 "" LED UHD Smart Built In Receiver - 65CU7000 ",0%, was EGP17349.00     Special Price EGP15299.00
"Samsung TV 43"" LED UHD Smart Built In Receiver - CU7000 ",0%, was EGP10599.00     Special Price EGP9599.00
"Samsung TV 50"" LED UHD Smart Built In Receiver - 50CU7000 ",0%, was EGP11999.00     Special Price EGP10699.00
"Samsung 85"" LED UHD Smart Built In Receiver - 85CU8000 ",0%, was EGP53899.00     Special Price EGP46999.00
"Samsung TV 55"" QLED UHD Smart Built In Receiver - 55Q60C ",0%, was EGP19499.00     Special Price EGP17999.00
"Samsung TV 75"" LED UHD Smart Built In Receiver - 75CU7000 ",0%, EGP29999.00
"Samsung TV 55"" Neo 4k UHD Smart Built In Receiver -55QN85C ",0%, was EGP38899.00     Special Price EGP27999.00
